SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
165,SEZ,ABIA,UMUAHIA SOUTH,AMAKAMA,AMAKAMA,AMAKAMA PHC,,,,,,,
166,SEZ,ABIA,UMUAHIA SOUTH,EZELEKE/ OGBODIUKWU,EZELEKE/OGBODIUKWU,EZELEKE PHC,,,,,,,
167,SEZ,ABIA,UMUAHIA SOUTH,NSIRIMO,NSIRIMO,NSIRIMO PHC,,,,,,,
168,SEZ,ABIA,UMUAHIA SOUTH,OHIAOCHA,OHIAOCHA,UMUNWANWA PHC,,,,,,,
169,SEZ,ABIA,UMUAHIA SOUTH,OLD UMUAHIA,OLD UMUAHIA,OLD UMUAHIA,,,,,,,
170,SEZ,ABIA,UMUAHIA SOUTH,OMAEGWU,OMAEGWU,EKENOBIZI PHC,,,,,,,
171,SEZ,ABIA,UMUAHIA SOUTH,UBAKALA 'A',UBAKALA 'A',UBAKALA PHC,,,,,,,
172,SEZ,ABIA,UMUAHIA SOUTH,UBAKALA 'B',UBAKALA 'B',AMUZU PHC,,,,,,,
173,SEZ,ABIA,UMUNNEOCHI,AMUDA,AMUDA,ISUOCHI PHC,,,,,,,
174,SEZ,ABIA,UMUNNEOCHI,EZIAMA AGBO,EZIAMA - AGBO,EZIAMA NNEATO PHC,,,,,,,
175,SEZ,ABIA,UMUNNEOCHI,EZIAMA UGWU,EZIAMA - UGWU,EZIOBA PHC,,,,,,,
176,SEZ,ABIA,UMUNNEOCHI,EZINGODO ,EZINGODO,EZINGODO PHC,,,,,,,
177,SEZ,ABIA,UMUNNEOCHI,MBALA/ACHARA,MBALA/ACHARA,MBALA PHC,,,,,,,
178,SEZ,ABIA,UMUNNEOCHI,NDIAWA/UMUELEM/IHIE/AMORIE,NDIAWA/UMUELEM/I,UMUELEM PHC,,,,,,,
179,SEZ,ABIA,UMUNNEOCHI,OBINOLU/OBIAGU/LOMARA,OBINOLU/OBIAGU/LA,OBINOLU HC,,,,,,,
180,SEZ,ABIA,UMUNNEOCHI,UBAHU/AKAWA/AROIKPA,UBAHU/AKAWA/AROKPA,NNEATO PHC,,,,,,,
181,SEZ,ABIA,UMUNNEOCHI,UMUAKU,UMUAKU,UMUAKU PHC,,,,,,,
182,SEZ,ABIA,UMUNNEOCHI,UMUCHIEZE 1 ,UMUCHIEZE I,UMUCHIEZE PHC,,,,,,,
183,SEZ,ABIA,UMUNNEOCHI,UMUCHIEZE 11,UMUCHIEZE II,AMORJI PHC,,,,,,,
184,SEZ,ABIA,UMUNNEOCHI,UMUCHIEZE 111 ,UMUCHIEZE III,LOKPANTA PHC,,,,,,,
185,NEZ,ADAMAWA,DEMSA,BILLE,BILLE,BILLE PHCC,,,,,,,
186,NEZ,ADAMAWA,DEMSA,BORRONG,BORRONG,BORRONG PHCC,,,,,,,
187,NEZ,ADAMAWA,DEMSA,DEMSA,DEMSA,DEMSA PHCC,,,,,,,
188,NEZ,ADAMAWA,DEMSA,DILLI,DILLI,DILLI PHCC,,,,,,,
189,NEZ,ADAMAWA,DEMSA,DONG,DONG,DONG PHCC,,,,,,,
190,NEZ,ADAMAWA,DEMSA,DWAM,DWAM,DWAM PHCC,,,,,,,
191,NEZ,ADAMAWA,DEMSA,GWAMBA,GWAMBA,GWAMBA PHCC,,,,,,,
192,NEZ,ADAMAWA,DEMSA,KPASHAM,KPASHAM,KPSHAM PHCC,,,,,,,
193,NEZ,ADAMAWA,DEMSA,MBULA-KULI,MBULA,TAHAU PHCC,,,,,,,
194,NEZ,ADAMAWA,DEMSA,NASSARAWO-DEMSA,NASSARAWO DEMSA,N/DEMSA PHCC,,,,,,,
195,NEZ,ADAMAWA,FUFORE,BETI,BETI,CHIGARI HC,,,,,,,
196,NEZ,ADAMAWA,FUFORE,FARANG,FARANG,FARANG HC,,,,,,,
197,NEZ,ADAMAWA,FUFORE,FUFORE,FUFORE,FUFORE HC,,,,,,,
198,NEZ,ADAMAWA,FUFORE,GURIN,GURIN,GURIN HC,,,,,,,
199,NEZ,ADAMAWA,FUFORE,KARLAHI,KARLAHI,KARLAHI HC,,,,,,,
200,NEZ,ADAMAWA,FUFORE,MAYO-INE,MAYO-INE,MAYO-INE HC,,,,,,,
201,NEZ,ADAMAWA,FUFORE,PARIYA,PARIYA,PARIYA HC,,,,,,,
202,NEZ,ADAMAWA,FUFORE,RIBADU,RIBADU,RIBADU PRIMARY HEALTH CENTRE,,,,,,,
203,NEZ,ADAMAWA,FUFORE,UKI-TUKI,UKI-TUKI,CHOLI HC,,,,,,,
204,NEZ,ADAMAWA,FUFORE,WURO-BOKKI,WURO-BOKKI,WURO-BOKKI HC,,,,,,,
205,NEZ,ADAMAWA,FUFORE,YADIM,YADIM,YADIM HC,,,,,,,
206,NEZ,ADAMAWA,GANYE,BAKARI-GUSO,BAKARI-GUSO,DIRDIU HC,,,,,,,
207,NEZ,ADAMAWA,GANYE,GAMU,GAMU,GAMU HC,,,,,,,
208,NEZ,ADAMAWA,GANYE,GANYE I,GANYE I,OLD MARKET HEALTH POST,,,,,,,
209,NEZ,ADAMAWA,GANYE,GANYE II,GANYE II,GANGDONA HEALTH POST,,,,,,,
210,NEZ,ADAMAWA,GANYE,GURUMPAWO,GURUMPAWO,GURUMPAWO HC,,,,,,,
211,NEZ,ADAMAWA,GANYE,JAGGU,JAGGU,JAGGU PHCC,,,,,,,
212,NEZ,ADAMAWA,GANYE,SANGASUMI,SANGASUMI,SANGASUMI HC,,,,,,,
213,NEZ,ADAMAWA,GANYE,SUGU,SUGU,SUGU HC,,,,,,,
214,NEZ,ADAMAWA,GANYE,TIMDORE,TIMDORE,YELWA HC,,,,,,,
215,NEZ,ADAMAWA,GANYE,YEBBI,YEBBI,YEBBI HC,,,,,,,
216,NEZ,ADAMAWA,GIREI,DAKRI,DAKRI,DAKRI PHCC,,,,,,,
217,NEZ,ADAMAWA,GIREI,DAMARE,DAMARE,DAMARE PHCC,,,,,,,
218,NEZ,ADAMAWA,GIREI,GERENG,GERENG,GERENG PHCC,,,,,,,
219,NEZ,ADAMAWA,GIREI,GIREI I,GIREI I,GIREI A PHCC,,,,,,,
220,NEZ,ADAMAWA,GIREI,GIREI II,GIREI II,GIREI B PHCC,,,,,,,
221,NEZ,ADAMAWA,GIREI,JERA-BAKARI,JERA-BAKARI,NAWA PHCC,,,,,,,
222,NEZ,ADAMAWA,GIREI,JERA-BONYO,JERA-BONYO,JERA BONYO PHCC,,,,,,,
223,NEZ,ADAMAWA,GIREI,MODIRE/VINIKILANG,MODIRE,VUNOKLANG PHCC,,,,,,,
224,NEZ,ADAMAWA,GIREI,TAMBO,TAMBO,TAMBO PHCC,,,,,,,
225,NEZ,ADAMAWA,GIREI,WURO-DOLE,WURO-DOLE,JABBILAMBA PHCC,,,,,,,
226,NEZ,ADAMAWA,GOMBI,BOGA-DINGARI,BOGA-DINGARI,BOGA PHCC,,,,,,,
227,NEZ,ADAMAWA,GOMBI,DUWA,DUWA,FOTTA PHCC,,,,,,,
228,NEZ,ADAMAWA,GOMBI,GA'ANDA,GA'ANDA,GA'ANDA PHCC,,,,,,,
229,NEZ,ADAMAWA,GOMBI,GABUN,GABUN,GABUN PHCC,,,,,,,
230,NEZ,ADAMAWA,GOMBI,GARKIDA,GARKIDA,WUYAKU PHCC,,,,,,,
231,NEZ,ADAMAWA,GOMBI,GOMBI NORTH,GOMBI NORTH,GOMBI B PHCC,,,,,,,
232,NEZ,ADAMAWA,GOMBI,GOMBI SOUTH,GOMBI SOUTH,NYAKO PHCC,,,,,,,
233,NEZ,ADAMAWA,GOMBI,GUYAKU,GUYAKU,GUYAKU PHCC,,,,,,,
234,NEZ,ADAMAWA,GOMBI,TAWA,TAWA,MUCHALLA PHCC,,,,,,,
235,NEZ,ADAMAWA,GOMBI,YANG,YANG,YANG PHCC,,,,,,,
236,NEZ,ADAMAWA,GUYUK,BANJIRAM,BANJIRAM,BANJIRAM HC,,,,,,,
237,NEZ,ADAMAWA,GUYUK,BOBINI,BOBINI,BOBINI MODEL HC,,,,,,,
238,NEZ,ADAMAWA,GUYUK,BODENO,BODENO,BODENO HC,,,,,,,
239,NEZ,ADAMAWA,GUYUK,CHIKILA,CHIKILA,CHIKILA MCH,,,,,,,
240,NEZ,ADAMAWA,GUYUK,DUKUL,DUKUL,DUKUL MODEL HEALTH CENTRE,,,,,,,
241,NEZ,ADAMAWA,GUYUK,DUMNA TSALBU,DUMNA TSALBU,BOSHIKIRI MCH,,,,,,,
